Date;Event Name;Type
2026-01-08;CJS Tournament Tune-Up;WORKSHOP
2026-01-14;Public Schools Open;SCHOOL
2026-01-17;CJS Coaches Workshop;WORKSHOP
2026-01-19;CJS Coaching starts;OTHER
2026-01-30;NJSA Closed Ranking Tournament;TOURNMT
2026-02-06;Limlanga Open (Polokwane);TOURNMT
2026-02-06;St Andrews Boys HS Festival;TOURNMT
2026-02-10;CJS Coaches Online Meeting;MEETING
2026-02-13;Joburg Junior Open (Parkview);TOURNMT
2026-02-16;Northerns High School League;TOURNMT
2026-02-21;CJS Social Saturday;SOCIAL
2026-02-26;Bloem Open (u16, u19);TOURNMT
2026-02-27;Bloem Open (all age groups);TOURNMT
2026-03-02;Northerns High School League;TOURNMT
2026-03-07;Joburg Junior Open Graded;TOURNMT
2026-03-09;Northerns High School League;TOURNMT
2026-03-10;CJS Coaches Online Meeting;MEETING
2026-03-13;Northerns Open Tournament;TOURNMT
2026-03-16;Northerns High School League;TOURNMT
2026-03-21;CJS Social Saturday;SOCIAL
2026-03-23;Northerns High School League;TOURNMT
2026-04-10;SA Schools Closed;TOURNMT
2026-04-11;Joburg Junior u11 & u13 Tournament;TOURNMT
2026-04-14;Public Schools Open;SCHOOL
2026-04-14;CJS Coaches Online Meeting;MEETING
2026-04-17;Northerns Open Graded + Growthpoint;TOURNMT
2026-04-24;SA Country Schools Festival;TOURNMT
2026-05-04;Coaches Online Meeting;MEETING
2026-05-09;CJS Tournament Tune-Up;WORKSHOP
2026-05-15;Northerns Closed Tournament;TOURNMT
2026-05-23;Northerns Top Schools Tournament;TOURNMT
2026-05-30;CJS Social Saturday;SOCIAL
2026-06-01;CJS Coaches Online Meeting;MEETING
2026-06-13;CJS IPT Team Preparation;WORKSHOP
2026-06-20;CJS IPT Team Preparation;WORKSHOP
2026-06-27;IPT Festival U11 - George;TOURNMT
2026-06-27;IPT U13-U19 (Various);TOURNMT
2026-07-21;Schools Open;SCHOOL
2026-07-28;CJS Coaches Online Meeting;MEETING
2026-07-31;CJS Dunlop Open Tournament;TOURNMT
2026-08-07;Top Schools Finals (KZN);TOURNMT
2026-08-11;CJS Coaches Online Meeting;MEETING
2026-08-13;Growthpoint Finals;TOURNMT
2026-08-15;CJS Social Saturday;SOCIAL
2026-08-20;Growthpoint Finals;TOURNMT
2026-08-28;CJS Start of Season Clinic;WORKSHOP
2026-09-04;Fezile Dabi Open;TOURNMT
2026-09-04;Menlo Interschools Boys Festival;TOURNMT
2026-09-07;CJS Coaches Online Meeting;MEETING
2026-09-11;Northerns Start of Season;TOURNMT
2026-09-18;Tuks All Girls Festival;TOURNMT
2026-10-02;Garden Route Open;TOURNMT
2026-10-06;Public Schools Open;SCHOOL
2026-10-09;Joburg Junior Start of Season;TOURNMT
2026-10-12;CJS Coaches Online Meeting;MEETING
2026-10-13;Northerns Primary Schools League;TOURNMT
2026-10-17;CJS Closed Club Champs (High Schools);TOURNMT
2026-10-23;CJS Closed Club Champs (Primary Schools);TOURNMT
2026-11-06;CJS Coaching ends;OTHER
2026-11-09;CJS Coaches Online Meeting;MEETING
2026-11-20;CJS Prestige Awards;CEREMONY
2026-11-26;CJS Year-End Clinic;WORKSHOP